uri:/instrument/1.0/^DJI/chartdata;type=quote;range=10d/csv
ticker:^dji
Company-Name:Dow Jones Industrial Average
Exchange-Name:DJI
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:16530.5508
range:20140423,1398259800,1398283200
range:20140424,1398346200,1398369600
range:20140425,1398432600,1398456000
range:20140428,1398691800,1398715200
range:20140429,1398778200,1398801600
range:20140430,1398864600,1398888000
range:20140501,1398951000,1398974400
range:20140502,1399037400,1399060800
range:20140505,1399296600,1399320000
range:20140506,1399383000,1399406400
Timestamp:1398259800,1399406400
labels:1398259800,1398346200,1398432600,1398691800,1398778200,1398864600,1398951000,1399037400,1399296600,1399383000
values:Timestamp,close,high,low,open,volume
close:16318.2100,16610.4395
high:16326.2998,16620.0605
low:16312.6602,16607.4297
open:16317.8301,16610.1191
volume:0,35142500
1398260099,16513.4707,16521.6309,16503.1309,16512.5098,8020300
1398260399,16508.5293,16513.3398,16501.7207,16513.3398,1949200
1398260699,16504.5605,16525.9902,16502.1992,16510.0098,1451900
1398260999,16496.6406,16505.3809,16492.5293,16505.3809,1317900
1398261299,16497.8301,16499.5703,16492.1504,16495.9102,1049900
1398261599,16500.4004,16504.8398,16494.5293,16497.6992,671900
1398261899,16478.0508,16500.9199,16477.7109,16500.9199,1411500
1398262199,16483.2207,16489.4492,16477.9199,16477.9199,1220900
1398262499,16487.3301,16494.7793,16481.6191,16482.7695,921900
1398262799,16492.7305,16498.1191,16484.8301,16487.1094,974900
1398263099,16503.5391,16506.5703,16490.1309,16492.4707,894700
1398263399,16504.1602,16508.8496,16499.8496,16503.4395,706700
1398263699,16499.3105,16505.3809,16498.7305,16504.0293,867600
1398263999,16506.6602,16506.6602,16497.4805,16499.3691,607200
1398264299,16513.9199,16513.9199,16501.6504,16506.6309,692400
1398264595,16510.3809,16516.5195,16509.7793,16514.3105,670100
1398264899,16511.9902,16519.6602,16510.2305,16510.2305,922900
1398265199,16506.4102,16512.3203,16502.9395,16511.3496,765900
1398265499,16503.4609,16510.7402,16503.4609,16506.2109,690100
1398265799,16504.1895,16507.5801,16502.1699,16503.3594,366400
1398266099,16487.2402,16505.4492,16487.1699,16505.1309,597100
1398266399,16490.1895,16491.3809,16486.1309,16487.6191,562800
1398266699,16479.2109,16490.3203,16478.3691,16490.1309,449700
