uri:/instrument/1.0/^GSPC/chartdata;type=quote;range=1d/csv
ticker:^gspc
Company-Name:S&P 500
Exchange-Name:SNP
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:1900.5300
Timestamp:1401197400,1401220800
labels:1401199200,1401202800,1401206400,1401210000,1401213600,1401217200,1401220800
values:Timestamp,close,high,low,open,volume
close:1904.5000,1912.2600
high:1904.5000,1912.2800
low:1904.5000,1912.1100
open:1904.5000,1912.1500
volume:271200,108740096
1401197412,1904.5000,1904.5000,1904.5000,1904.5000,14231800
1401197517,1907.5500,1907.5500,1907.5500,1907.5500,13807300
1401197577,1907.8400,1907.8400,1907.5100,1907.5900,2466600
1401197637,1908.0699,1908.1600,1907.5400,1907.8101,1544800
1401197697,1908.6000,1908.6000,1908.0601,1908.0601,1294300
1401197757,1908.6100,1908.7700,1908.5100,1908.5100,2123100
1401197817,1907.7300,1908.5200,1907.7300,1908.5100,2121400
1401197877,1907.2600,1907.6801,1907.2200,1907.3900,1677900
1401197937,1907.0601,1907.3000,1906.8101,1907.3000,1496800
1401197997,1906.8800,1907.3400,1906.7900,1907.2800,1155900
1401198056,1907.8000,1907.8000,1906.9200,1906.9200,1041600
1401198118,1907.9600,1907.9600,1907.4500,1907.7700,1406500
1401198177,1908.7500,1908.8900,1908.0400,1908.1100,1715100
1401198237,1908.7000,1908.9399,1908.7000,1908.7900,1483300
1401198297,1908.9800,1908.9800,1908.6100,1908.6400,1190600
1401198351,1909.1801,1909.2900,1909.1100,1909.1100,1257400
1401198417,1908.9000,1908.9500,1908.6899,1908.9500,1223300
1401198477,1909.1600,1909.2000,1908.9399,1908.9399,1519100
1401198537,1909.2900,1909.3900,1909.1899,1909.1899,1345800
1401198597,1909.4200,1909.4200,1909.1801,1909.3500,1194900
1401198657,1909.4800,1909.5000,1909.3900,1909.3900,920200
1401198717,1909.3300,1909.5300,1909.2200,1909.5100,1178800
1401198777,1909.4000,1909.5300,1909.2500,1909.2500,1012500
1401198837,1909.0200,1909.4100,1909.0200,1909.2800,1011100
1401198897,1909.0100,1909.1899,1908.9399,1909.0400,1136300
1401198957,1908.9700,1909.0200,1908.8800,1909.0200,985200
1401199017,1909.3500,1909.4700,1908.9399,1908.9399,1126200
1401199077,1909.2900,1909.5000,1909.2400,1909.3800,960500
1401199137,1908.8101,1909.2900,1908.8101,1909.2900,939600
