uri:/instrument/1.0/^NDX/chartdata;type=quote;range=10d/csv
ticker:^ndx
Company-Name:NASDAQ-100
Exchange-Name:NIM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:3605.0920
range:20140423,1398259800,1398283200
range:20140424,1398346200,1398369600
range:20140425,1398432600,1398456000
range:20140428,1398691800,1398715200
range:20140429,1398778200,1398801600
range:20140430,1398864600,1398888000
range:20140501,1398951000,1398974400
range:20140502,1399037400,1399060800
range:20140505,1399296600,1399320000
range:20140506,1399383000,1399406400
Timestamp:1398259800,1399406400
labels:1398259800,1398346200,1398432600,1398691800,1398778200,1398864600,1398951000,1399037400,1399296600,1399383000
values:Timestamp,close,high,low,open,volume
close:3491.3113,3611.1194
high:3497.3645,3613.0305
low:3489.5994,3610.3979
open:3491.0186,3611.1475
volume:0,0
1398260099,3582.8223,3588.0449,3580.2449,3587.6826,0
1398260399,3577.8020,3582.8879,3576.5122,3582.8879,0
1398260699,3577.4026,3583.4758,3576.4294,3577.8337,0
1398260999,3570.5090,3577.5327,3567.9617,3577.5327,0
1398261299,3571.7290,3572.8193,3569.7703,3570.4465,0
1398261599,3571.1077,3573.7200,3569.1736,3571.7942,0
1398261899,3562.0681,3570.9517,3561.7607,3570.9517,0
1398262199,3561.5095,3563.7871,3561.4644,3562.0618,0
1398262499,3564.4563,3567.3364,3561.0461,3561.5005,0
1398262799,3563.7568,3567.2581,3562.1992,3564.4536,0
1398263099,3569.4631,3569.7246,3563.0273,3563.6130,0
1398263399,3568.9771,3571.2634,3567.8330,3569.2935,0
1398263699,3565.3203,3569.0796,3564.6125,3569.0420,0
1398263999,3568.6682,3568.8118,3565.2671,3565.3127,0
1398264299,3572.6968,3573.5186,3568.5254,3568.6709,0
1398264598,3571.1536,3573.6306,3570.3645,3572.6904,0
1398264899,3570.9409,3572.8320,3570.0322,3571.1865,0
1398265199,3569.5583,3572.3777,3569.1487,3570.9597,0
1398265499,3569.9470,3572.2100,3568.6633,3569.5752,0
1398265799,3570.3127,3571.7102,3569.4255,3570.0034,0
1398266099,3563.1545,3571.0037,3562.9583,3570.3074,0
1398266399,3565.7759,3565.8936,3563.4355,3563.4468,0
1398266699,3563.1462,3565.8000,3562.9485,3565.5793,0
1398266999,3564.9341,3566.0410,3562.9663,3563.1609,0
1398267299,3568.7249,3569.6174,3565.0222,3565.0222,0
1398267599,3570.5063,3570.7197,3568.2756,3568.7275,0
1398267899,3570.3330,3571.5593,3569.7832,3570.4980,0
1398268199,3569.0032,3570.2786,3567.6875,3570.2627,0
1398268499,3570.4631,3570.4631,3567.9863,3569.0120,0
1398268799,3570.4402,3571.3235,3570.0166,3570.4895,0
1398269099,3569.0151,3570.8591,3568.7893,3570.4290,0
1398269399,3565.8787,3569.2622,3565.7922,3569.2061,0
1398269699,3565.3284,3566.7104,3565.1108,3565.8962,0
1398269999,3563.3379,3565.3867,3563.2798,3565.3337,0
1398270299,3563.0591,3563.3408,3561.9927,3563.3384,0
1398270599,3563.8721,3563.8721,3561.6189,3563.0632,0
1398270898,3565.9836,3565.9836,3563.3540,3563.8801,0
1398271199,3565.9551,3566.8076,3565.8323,3565.8855,0
1398271499,3565.6958,3566.3130,3564.3977,3565.9226,0
1398271799,3566.7695,3567.3218,3565.6152,3565.6152,0
1398272099,3566.7483,3567.2305,3566.3748,3566.7644,0
1398272399,3566.7996,3567.1819,3566.6631,3566.8335,0
1398272699,3566.8772,3566.8772,3565.9080,3566.6187,0
1398272999,3564.8303,3566.9346,3564.1226,3566.9346,0
1398273299,3562.8828,3565.0327,3562.8542,3564.7952,0
1398273599,3564.4729,3564.4729,3561.9465,3562.8979,0
1398273899,3564.2117,3564.8145,3564.0569,3564.4949,0
1398274199,3564.8987,3566.2380,3563.8374,3564.2239,0
1398274499,3564.5710,3565.9912,3564.4934,3564.9014,0
1398274799,3559.4358,3564.7910,3559.3442,3564.5710,0
1398275099,3560.7876,3561.5903,3558.1155,3559.4287,0
1398275399,3559.4983,3561.2166,3558.2610,3560.7817,0
1398275699,3560.3152,3561.3618,3558.9814,3559.4968,0
1398275999,3559.4368,3560.5122,3558.9233,3560.3152,0
1398276299,3558.1919,3559.4001,3557.1550,3559.4001,0
1398276599,3559.8779,3560.0229,3557.2803,3558.1919,0
1398276899,3559.6484,3560.6711,3559.6484,3559.8801,0
1398277199,3556.6116,3559.6626,3555.8589,3559.6626,0
1398277499,3556.5059,3557.0889,3556.0320,3556.7053,0
1398277799,3558.7795,3559.1697,3555.8918,3556.4539,0
1398278099,3558.2993,3558.7671,3556.6394,3558.7590,0
1398278399,3557.9016,3558.8198,3557.6785,3558.2993,0
1398278699,3556.1475,3558.2800,3555.6016,3557.8513,0
1398278999,3555.9512,3557.2026,3555.7065,3556.1582,0
1398279299,3558.0610,3558.7827,3555.8318,3555.9502,0
1398279599,3559.0627,3560.1692,3558.0269,3558.0532,0
1398279899,3559.0063,3559.0308,3558.0774,3559.0308,0
1398280199,3562.5591,3562.7224,3558.9573,3558.9773,0
1398280499,3563.8818,3563.9673,3561.0503,3562.5386,0
1398280799,3562.4255,3564.5525,3562.3853,3563.8757,0
1398281099,3562.2419,3563.4377,3561.9568,3562.3376,0
1398281399,3560.3669,3562.2646,3559.9800,3562.2329,0
1398281699,3558.8284,3560.9539,3558.8284,3560.4319,0
1398281999,3560.0652,3560.6997,3558.5420,3558.8079,0
1398282299,3559.8340,3560.3301,3559.0327,3560.0867,0
1398282599,3559.4277,3559.8914,3558.4402,3559.8914,0
1398282899,3560.7478,3561.0203,3559.7200,3559.7200,0
1398283199,3556.6360,3561.1514,3555.1885,3560.6941,0
1398283200,3557.0359,3557.0359,3557.0359,3557.0359,0
