uri:/instrument/1.0/^OEX/chartdata;type=quote;range=10d/csv
ticker:^oex
Company-Name:S&P 100 INDEX
Exchange-Name:WCB
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:833.8600
range:20140423,1398259800,1398283200
range:20140424,1398346200,1398369600
range:20140425,1398432600,1398456000
range:20140428,1398691800,1398715200
range:20140429,1398778200,1398801600
range:20140430,1398864600,1398888000
range:20140501,1398951000,1398974400
range:20140502,1399037400,1399060800
range:20140505,1399296600,1399320000
range:20140506,1399383000,1399406400
Timestamp:1398259800,1399406400
labels:1398259800,1398346200,1398432600,1398691800,1398778200,1398864600,1398951000,1399037400,1399296600,1399383000
values:Timestamp,close,high,low,open,volume
close:822.2800,837.9500
high:823.0100,838.2100
low:822.0100,837.8200
open:822.2400,837.9700
volume:0,0
1398260096,830.8000,831.1500,830.3700,831.0500,0
1398260398,830.3400,830.8100,830.2200,830.7500,0
1398260696,830.4200,831.2600,830.3100,830.4000,0
1398260991,829.8400,830.5100,829.5100,830.4300,0
1398261296,830.0900,830.1300,829.6900,829.7400,0
1398261596,830.1200,830.2100,829.9000,830.0900,0
1398261896,828.9600,830.1000,828.9500,830.1000,0
1398262196,829.1300,829.4500,828.8500,828.9300,0
1398262496,829.5600,829.7600,829.0500,829.1000,0
1398262796,829.6800,830.0300,829.4300,829.5700,0
1398263096,830.3200,830.4000,830.1600,830.2200,0
1398263396,830.3100,830.5300,830.0600,830.2600,0
1398263691,829.9100,830.3200,829.8800,830.3000,0
1398263996,830.5400,830.5500,829.9000,829.9200,0
1398264296,831.0200,831.0600,830.4800,830.5500,0
1398264596,830.8400,831.1500,830.7400,831.0500,0
1398264896,830.8400,831.1700,830.7800,830.9700,0
1398265196,830.6200,830.9300,830.4700,830.8400,0
1398265496,830.5700,830.8700,830.4900,830.5800,0
1398265796,830.4100,830.6300,830.3600,830.5700,0
1398266096,829.5700,830.5100,829.5700,830.4700,0
1398266396,829.8000,829.8700,829.5500,829.6000,0
1398266696,829.2800,829.7900,829.2600,829.7900,0
1398266997,829.6500,829.7800,829.2900,829.3000,0
1398267296,830.2900,830.3900,829.6400,829.6700,0
1398267596,830.3400,830.3400,830.0200,830.2300,0
1398267896,830.3100,830.5700,830.2600,830.3500,0
1398268196,830.1800,830.2600,829.9700,830.2600,0
1398268496,830.5600,830.5600,830.2100,830.2100,0
1398268796,830.5400,830.7300,830.4700,830.5700,0
1398269096,830.3500,830.5200,830.3000,830.5200,0
1398269396,830.1000,830.4400,830.1000,830.3900,0
1398269696,830.1000,830.3000,830.0500,830.1000,0
1398269991,829.9300,830.1300,829.9200,830.1200,0
1398270291,829.9800,830.0700,829.8600,829.9300,0
1398270596,830.0200,830.0300,829.6600,830.0000,0
1398270896,830.3200,830.3900,829.9300,830.0300,0
1398271196,830.4700,830.5900,830.3000,830.3000,0
1398271496,830.5200,830.6300,830.3700,830.4700,0
1398271796,830.8000,830.8600,830.5100,830.5100,0
1398272096,830.7800,830.8700,830.6600,830.8000,0
1398272396,830.7300,830.8000,830.6900,830.7800,0
1398272696,830.7600,830.8500,830.6800,830.6900,0
