uri:/instrument/1.0/^OEX/chartdata;type=quote;range=1d/csv
ticker:^oex
Company-Name:S&P 100 INDEX
Exchange-Name:WCB
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:835.6500
Timestamp:1400592600,1400616000
labels:1400594400,1400598000,1400601600,1400605200,1400608800,1400612400,1400616000
values:Timestamp,close,high,low,open,volume
close:832.4400,835.4500
high:832.4400,835.5700
low:832.4400,835.3900
open:832.4400,835.5700
volume:0,0
1400592656,835.2700,835.5700,835.2000,835.5700,0
1400592716,835.3000,835.3700,835.2100,835.2800,0
1400592776,835.1200,835.3200,835.1200,835.3000,0
1400592831,834.8700,835.0200,834.8700,835.0200,0
1400592896,834.6100,834.9600,834.6100,834.9600,0
1400592957,834.3500,834.6600,834.2000,834.6600,0
1400593016,834.5000,834.6700,834.4500,834.4500,0
1400593071,835.0700,835.0700,834.5500,834.5500,0
1400593137,834.4600,835.0800,834.4600,835.0800,0
1400593199,834.6200,834.7900,834.4800,834.4800,0
1400593251,834.4800,834.7000,834.4700,834.6800,0
1400593311,834.6400,834.6700,834.4300,834.5800,0
1400593371,834.3700,834.6000,834.3700,834.6000,0
1400593431,834.1600,834.3800,834.1300,834.3400,0
1400593491,833.6200,834.2400,833.6200,834.2400,0
1400593559,833.9400,833.9400,833.6600,833.6600,0
1400593612,834.1000,834.1000,833.9000,834.0300,0
1400593672,833.8800,834.0900,833.8800,834.0900,0
1400593737,833.3600,833.8600,833.3000,833.8600,0
1400593791,833.4700,833.4700,833.3700,833.3700,0
1400593856,833.5100,833.5100,833.3300,833.4100,0
1400593911,833.8500,833.8500,833.5300,833.5700,0
1400593976,833.6500,833.8700,833.6500,833.8700,0
1400594036,833.7900,833.8400,833.6400,833.6400,0
1400594096,833.4000,833.7700,833.3800,833.7700,0
1400594157,833.2000,833.3700,833.1800,833.3700,0
1400594216,833.0600,833.2900,833.0600,833.2400,0
1400594276,833.4700,833.4800,833.0200,833.0300,0
1400594336,833.2400,833.4400,833.2000,833.4400,0
1400594397,832.9400,833.1700,832.9000,833.1300,0
1400594456,833.0100,833.0800,832.8800,833.0800,0
1400594516,833.6100,833.6100,833.0800,833.0800,0
1400594576,833.6400,833.7500,833.6400,833.6400,0
1400594636,833.9100,833.9100,833.6800,833.6800,0
1400594696,833.9400,834.0700,833.8900,833.8900,0
1400594759,833.6800,833.9500,833.6500,833.9500,0
1400594816,833.7600,833.7700,833.4900,833.5400,0
1400594876,833.4600,833.7700,833.4100,833.7700,0
1400594936,833.5700,833.6800,833.4800,833.4800,0
1400594991,833.3000,833.5700,833.3000,833.5600,0
1400595056,833.8400,833.8800,833.4400,833.4400,0
1400595116,833.9100,833.9400,833.7700,833.8800,0
1400595176,833.9100,834.0300,833.8900,833.9400,0
1400595236,833.8600,833.9000,833.8600,833.9000,0
1400595296,833.8300,833.9300,833.8100,833.9300,0
1400595356,834.0400,834.0400,833.8200,833.8200,0
1400595416,834.4100,834.4100,834.0500,834.0600,0
1400595476,834.0200,834.4100,834.0200,834.4100,0
1400595538,833.8000,834.0800,833.8000,834.0000,0
1400595596,833.8500,833.8500,833.7600,833.7900,0
1400595658,833.8300,833.8300,833.6500,833.7500,0
1400595717,833.8200,833.8400,833.7200,833.8200,0
1400595776,833.9000,833.9000,833.7600,833.8100,0
1400595836,833.3000,833.9200,833.3000,833.9200,0
1400595896,833.2200,833.4000,833.2200,833.3100,0
1400595956,833.4700,833.4700,833.2100,833.2400,0
1400596016,833.6800,833.7000,833.4700,833.4700,0
1400596076,833.7200,833.7200,833.6200,833.6400,0
1400596126,833.4000,833.6600,833.4000,833.6600,0
1400596196,833.1300,833.4100,833.0700,833.4100,0
1400596256,833.3100,833.3900,833.2600,833.2700,0
1400596316,833.7600,833.7600,833.3000,833.3100,0
1400596371,833.5000,833.8000,833.5000,833.7900,0
1400596436,833.7300,833.7300,833.4300,833.4700,0
1400596491,833.7800,833.8900,833.7500,833.7500,0
1400596557,834.0000,834.0000,833.8200,833.8400,0
1400596611,834.2600,834.2600,834.0300,834.0300,0
1400596671,834.0800,834.2600,834.0600,834.2600,0
1400596731,834.1700,834.2700,834.1500,834.1500,0
1400596796,833.8300,834.0300,833.8200,834.0300,0
1400596856,833.7500,833.8200,833.6500,833.8200,0
1400596917,834.2100,834.2100,833.9000,833.9000,0
1400596973,834.0800,834.2400,834.0100,834.2400,0
1400597031,834.3100,834.3100,834.1000,834.1000,0
1400597096,834.3200,834.3700,834.2300,834.2300,0
1400597157,834.3600,834.4100,834.3200,834.3300,0
1400597216,834.0600,834.2400,834.0600,834.2000,0
1400597276,834.3300,834.3300,834.0500,834.0500,0
1400597337,834.3900,834.3900,834.2900,834.3400,0
1400597396,834.3500,834.4500,834.2800,834.4200,0
1400597456,834.2600,834.3700,834.1800,834.3500,0
1400597512,834.2200,834.2600,834.1700,834.2500,0
1400597576,834.3300,834.3300,834.2000,834.2000,0
1400597636,834.3000,834.3300,834.2200,834.3300,0
1400597696,834.2700,834.2800,834.1000,834.1000,0
1400597751,834.5700,834.5700,834.3000,834.3000,0
1400597816,834.7100,834.7100,834.5500,834.5500,0
1400597876,834.9700,834.9900,834.7300,834.7300,0
1400597936,835.2000,835.2000,834.9800,834.9800,0
1400597996,835.3400,835.4400,835.2400,835.2400,0
1400598056,835.3400,835.4500,835.3200,835.4000,0
