uri:/instrument/1.0/^OEX/chartdata;type=quote;range=1d/csv
ticker:^oex
Company-Name:S&P 100 INDEX
Exchange-Name:WCB
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:842.5900
Timestamp:1401197400,1401220800
labels:1401199200,1401202800,1401206400,1401210000,1401213600,1401217200,1401220800
values:Timestamp,close,high,low,open,volume
close:844.7500,847.5200
high:844.7500,847.5500
low:844.6400,847.4700
open:844.6400,847.4900
volume:0,0
1401197441,844.7500,844.7500,844.6400,844.6400,0
1401197516,845.7000,845.7000,844.9100,844.9100,0
1401197576,845.7600,845.7800,845.5500,845.6600,0
1401197636,845.7900,845.8600,845.5700,845.7300,0
1401197696,845.9600,845.9600,845.7600,845.7600,0
1401197756,845.8700,845.9600,845.8300,845.9200,0
1401197816,845.4500,845.8200,845.4500,845.8100,0
1401197877,845.3800,845.5200,845.3000,845.3000,0
1401197936,845.2700,845.4200,845.1700,845.4100,0
1401197996,845.1900,845.4000,845.1300,845.3700,0
1401198056,845.6000,845.6600,845.2200,845.2200,0
1401198116,845.7800,845.7900,845.4600,845.5500,0
1401198176,846.0200,846.0800,845.7200,845.7200,0
1401198236,845.8900,846.0600,845.8900,846.0400,0
1401198296,846.0500,846.0500,845.8200,845.8500,0
1401198356,846.0700,846.1600,846.0300,846.0300,0
1401198411,845.8800,845.9600,845.8100,845.9600,0
1401198478,846.0300,846.0300,845.9000,845.9000,0
1401198536,846.0800,846.1300,846.0500,846.0500,0
1401198596,846.1200,846.1400,846.0100,846.1200,0
1401198656,846.1500,846.1700,846.1100,846.1100,0
1401198716,846.1300,846.1700,846.0500,846.1500,0
1401198776,846.1000,846.2300,846.0700,846.0700,0
1401198836,846.0000,846.1800,845.9800,846.1300,0
1401198896,846.0400,846.1200,846.0100,846.0200,0
1401198956,846.0700,846.0700,846.0100,846.0600,0
1401199016,846.2500,846.3300,846.0500,846.0500,0
1401199079,846.2600,846.3300,846.2100,846.2600,0
1401199136,846.0300,846.2600,846.0300,846.2600,0
1401199199,845.8400,846.0400,845.8400,846.0300,0
1401199258,845.8000,845.8000,845.6500,845.6700,0
1401199316,845.8200,845.9400,845.7200,845.8100,0
1401199376,845.8400,845.9000,845.8300,845.8400,0
1401199436,845.6400,845.8400,845.6400,845.8400,0
1401199496,845.5500,845.6400,845.5000,845.6200,0
1401199556,845.6200,845.6500,845.5300,845.5300,0
1401199616,845.9200,845.9200,845.6100,845.6100,0
1401199676,845.9800,845.9800,845.7500,845.9300,0
1401199736,846.0000,846.0200,845.9000,845.9900,0
1401199796,846.0200,846.0200,845.9500,846.0200,0
1401199857,845.8800,846.0300,845.7900,846.0300,0
1401199916,846.0500,846.0800,845.9200,845.9200,0
1401199976,846.0200,846.1200,845.9800,846.0500,0
1401200036,846.2400,846.2400,846.0300,846.0300,0
1401200096,846.1500,846.3000,846.1500,846.2500,0
1401200156,846.1800,846.2300,846.1400,846.2100,0
1401200216,846.4300,846.4300,846.2300,846.2300,0
1401200276,846.4800,846.4900,846.4300,846.4300,0
1401200336,846.6200,846.7000,846.5100,846.5100,0
1401200397,846.6900,846.6900,846.5300,846.6400,0
1401200456,846.7200,846.7200,846.6900,846.7000,0
1401200516,846.7400,846.7900,846.7000,846.7200,0
1401200576,846.8700,846.8700,846.7400,846.7400,0
1401200636,846.9900,847.0200,846.8800,846.8800,0
1401200696,846.7800,846.9600,846.7800,846.9400,0
1401200752,846.7500,846.7900,846.7300,846.7500,0
1401200816,846.7900,846.7900,846.7500,846.7600,0
1401200876,846.6900,846.7900,846.5400,846.7900,0
1401200936,846.7600,846.7600,846.6800,846.6800,0
1401200996,846.9900,847.0100,846.7700,846.7700,0
1401201052,846.9800,847.0300,846.9400,847.0200,0
1401201117,847.0100,847.0300,846.9700,846.9700,0
1401201175,847.0400,847.0400,847.0000,847.0000,0
1401201237,847.0700,847.0700,847.0100,847.0600,0
1401201296,847.0200,847.1000,847.0200,847.0800,0
1401201358,847.0000,847.0500,846.9700,846.9900,0
1401201416,847.0100,847.0100,846.9400,847.0000,0
1401201478,846.8700,846.9700,846.8700,846.9700,0
1401201536,846.6700,846.8000,846.6600,846.8000,0
1401201597,846.6500,846.6600,846.6200,846.6600,0
1401201656,846.4900,846.6600,846.4900,846.6600,0
1401201716,846.6500,846.6500,846.5300,846.5300,0
1401201776,846.5800,846.7400,846.5500,846.6900,0
1401201836,846.6300,846.6300,846.5500,846.6000,0
1401201896,846.5800,846.6300,846.5200,846.6300,0
1401201956,846.7200,846.8200,846.6100,846.6100,0
1401202016,846.6000,846.7400,846.5800,846.6900,0
1401202076,846.6100,846.6300,846.5800,846.6200,0
1401202136,846.8100,846.8100,846.6100,846.6100,0
1401202196,846.8000,846.8600,846.8000,846.8100,0
1401202255,846.7400,846.8400,846.7300,846.7900,0
1401202316,846.6500,846.7300,846.6500,846.7300,0
1401202377,846.5500,846.6900,846.5500,846.6500,0
1401202434,846.6300,846.6300,846.5300,846.5500,0
1401202497,846.6800,846.6800,846.6400,846.6400,0
1401202556,846.7100,846.7100,846.6600,846.6700,0
1401202616,846.8400,846.8600,846.7100,846.7100,0
1401202676,846.8500,846.8600,846.8200,846.8400,0
1401202736,846.7800,846.8600,846.7800,846.8600,0
1401202796,846.8100,846.9100,846.7700,846.7700,0
1401202856,846.9000,846.9200,846.7900,846.7900,0
1401202916,846.9200,846.9300,846.8500,846.9300,0
1401202977,846.9600,846.9700,846.9300,846.9300,0
1401203036,846.9600,846.9600,846.9300,846.9500,0
1401203096,846.9700,846.9900,846.9600,846.9600,0
1401203156,847.0500,847.0500,846.9800,846.9800,0
1401203216,847.1800,847.1800,847.0700,847.0700,0
1401203276,847.1800,847.2000,847.1500,847.1600,0
1401203336,847.1200,847.1900,847.1200,847.1700,0
1401203396,847.1000,847.1000,847.0400,847.0400,0
1401203456,847.0500,847.1000,847.0400,847.1000,0
1401203516,847.0300,847.0500,847.0200,847.0500,0
1401203576,847.0500,847.0600,847.0300,847.0300,0
1401203636,847.0500,847.0600,847.0300,847.0400,0
1401203697,847.0400,847.0600,847.0000,847.0600,0
1401203757,846.9500,847.0500,846.9500,847.0500,0
1401203816,846.8600,846.9300,846.8600,846.9300,0
1401203876,846.8200,846.8800,846.8100,846.8700,0
1401203936,846.8100,846.8500,846.8000,846.8300,0
1401203996,846.6400,846.8200,846.6400,846.8100,0
1401204056,846.4400,846.6300,846.4400,846.6300,0
1401204116,846.4500,846.4500,846.4100,846.4400,0
1401204178,846.3800,846.4700,846.3800,846.4700,0
1401204237,846.4900,846.4900,846.3700,846.3700,0
1401204296,846.5700,846.5900,846.4800,846.4900,0
1401204356,846.5700,846.5700,846.5200,846.5600,0
1401204416,846.2800,846.5500,846.2600,846.5500,0
1401204476,846.2600,846.3400,846.2300,846.3000,0
1401204536,846.2400,846.2700,846.2200,846.2600,0
1401204596,846.1000,846.2400,846.1000,846.2400,0
1401204656,846.3000,846.3200,846.1200,846.1200,0
1401204716,846.3000,846.3100,846.2900,846.2900,0
1401204776,846.3000,846.3400,846.2900,846.2900,0
1401204836,846.4700,846.4700,846.3200,846.3200,0
1401204898,846.3700,846.5000,846.3700,846.5000,0
