<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SANDP-FUT,1,20140201,000000,1783.7000000,1783.7000000,1783.4800000,1783.4800000
SANDP-FUT,1,20140201,000100,1783.3800000,1783.3800000,1783.0000000,1783.0000000
SANDP-FUT,1,20140201,000200,1783.0000000,1783.0000000,1782.0900000,1782.0900000
SANDP-FUT,1,20140201,000300,1782.0800000,1782.0800000,1781.7400000,1782.0000000
SANDP-FUT,1,20140201,000500,1782.5000000,1783.2300000,1782.5000000,1783.1000000
SANDP-FUT,1,20140201,000600,1782.9200000,1782.9200000,1782.0700000,1782.0700000
SANDP-FUT,1,20140201,000700,1782.0000000,1782.0000000,1782.0000000,1782.0000000
SANDP-FUT,1,20140201,000800,1781.7000000,1781.7000000,1781.7000000,1781.7000000
SANDP-FUT,1,20140201,000900,1781.1300000,1781.1300000,1781.0300000,1781.0300000
SANDP-FUT,1,20140201,001000,1780.9200000,1780.9200000,1780.5000000,1780.5000000
SANDP-FUT,1,20140201,001100,1780.7500000,1781.5000000,1780.7500000,1781.5000000
SANDP-FUT,1,20140201,001200,1781.0000000,1781.0000000,1781.0000000,1781.0000000
SANDP-FUT,1,20140201,001400,1781.2000000,1781.2000000,1781.2000000,1781.2000000
SANDP-FUT,1,20140201,001500,1781.2700000,1781.8000000,1781.2700000,1781.8000000
SANDP-FUT,1,20140201,001600,1781.7000000,1781.9700000,1781.6500000,1781.9700000
SANDP-FUT,1,20140201,001700,1782.2000000,1782.2000000,1782.1000000,1782.1000000
SANDP-FUT,1,20140201,001800,1782.0000000,1782.0000000,1781.3300000,1781.3300000
SANDP-FUT,1,20140201,001900,1781.2500000,1781.2500000,1781.0000000,1781.0000000
SANDP-FUT,1,20140201,002000,1780.5000000,1780.5000000,1779.0000000,1779.0000000
SANDP-FUT,1,20140201,002100,1779.0000000,1779.3000000,1779.0000000,1779.3000000
SANDP-FUT,1,20140201,002200,1779.4200000,1779.8600000,1779.4200000,1779.8600000
SANDP-FUT,1,20140201,002300,1779.8300000,1779.8300000,1779.5000000,1779.5000000
SANDP-FUT,1,20140201,002400,1779.7500000,1779.9000000,1779.7500000,1779.9000000
