uri:/instrument/1.0/^SOX/chartdata;type=quote;range=10d/csv
ticker:^sox
Company-Name:PHLX Semiconductor
Exchange-Name:NIM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:588.4330
range:20140423,1398259800,1398283200
range:20140424,1398346200,1398369600
range:20140425,1398432600,1398456000
range:20140428,1398691800,1398715200
range:20140429,1398778200,1398801600
range:20140430,1398864600,1398888000
range:20140501,1398951000,1398974400
range:20140502,1399037400,1399060800
range:20140505,1399296600,1399320000
range:20140506,1399383000,1399406400
Timestamp:1398259800,1399406400
labels:1398259800,1398346200,1398432600,1398691800,1398778200,1398864600,1398951000,1399037400,1399296600,1399383000
values:Timestamp,close,high,low,open,volume
close:561.0962,593.2648
high:562.0911,593.3904
low:560.7261,592.9252
open:561.1035,593.2834
volume:0,0
1398260099,589.9177,590.0030,589.0386,589.3006,0
1398260399,589.6124,589.9931,589.0742,589.9257,0
1398260699,590.8572,590.9488,589.4866,589.6400,0
1398260999,589.3026,590.6399,588.9035,590.6399,0
1398261299,588.8789,589.6588,588.8174,589.2764,0
1398261599,589.4272,589.7352,588.8665,588.8789,0
1398261899,587.4933,589.4360,587.4933,589.4360,0
1398262199,587.1360,587.4749,587.0251,587.4749,0
1398262499,587.6369,588.1721,587.1360,587.1360,0
1398262799,588.2831,588.3100,587.4842,587.6271,0
1398263099,589.3813,589.4322,588.2789,588.2789,0
1398263399,589.5291,589.8843,589.1984,589.3796,0
1398263699,588.4477,589.5571,588.4477,589.5406,0
1398263999,588.7346,588.8617,588.4477,588.4477,0
1398264299,589.5775,589.7255,588.7221,588.7307,0
1398264592,589.1147,589.6443,589.1048,589.5905,0
1398264899,589.1299,589.2556,588.9227,589.1675,0
1398265199,588.5399,589.2435,588.4860,589.1299,0
1398265499,587.9672,588.5369,587.9672,588.5369,0
1398265799,587.8951,588.0740,587.7312,587.9518,0
1398266099,587.0267,588.0058,587.0063,587.9348,0
1398266399,587.3347,587.4668,587.0298,587.0298,0
1398266699,587.0195,587.4532,586.9484,587.3297,0
1398266999,587.6517,587.7584,587.0224,587.0224,0
1398267299,588.1918,588.3756,587.6482,587.6656,0
1398267599,588.2750,588.3666,588.1802,588.1918,0
1398267899,588.5244,588.7288,588.0826,588.2780,0
1398268199,589.0520,589.0741,588.3086,588.5203,0
1398268499,589.5413,589.5413,588.9886,589.0520,0
1398268799,589.6127,589.7477,589.4532,589.5464,0
1398269099,589.6682,589.7058,589.5212,589.6089,0
1398269399,588.9818,589.7344,588.9818,589.6760,0
1398269699,588.7838,589.1000,588.7794,588.9774,0
1398269999,588.6650,588.7975,588.6288,588.7847,0
1398270299,588.6923,588.8168,588.6035,588.6670,0
1398270599,588.6567,588.6947,588.2221,588.6947,0
1398270894,588.5645,588.7161,588.4854,588.6656,0
1398271196,588.3423,588.6073,588.3423,588.5543,0
1398271499,588.3653,588.6236,588.2748,588.3393,0
1398271799,588.4402,588.6375,588.3455,588.3690,0
1398272099,588.1508,588.4485,588.0607,588.4354,0
1398272399,588.4436,588.6520,588.1384,588.1689,0
1398272699,588.8951,588.8951,588.3889,588.4351,0
1398272999,588.3813,588.9382,588.3439,588.9110,0
1398273299,588.1896,588.4536,588.1896,588.3773,0
1398273599,588.4412,588.4412,587.8364,588.1986,0
1398273899,588.4724,588.5204,588.3395,588.4517,0
1398274199,588.7439,588.9302,588.4664,588.4724,0
1398274499,588.7097,588.7694,588.5720,588.7439,0
1398274799,588.0240,588.7093,588.0126,588.7064,0
1398275099,588.4419,588.5204,587.9715,588.0240,0
1398275399,588.1681,588.5601,588.0737,588.4419,0
