uri:/instrument/1.0/^SOX/chartdata;type=quote;range=1d/csv
ticker:^sox
Company-Name:PHLX Semiconductor
Exchange-Name:NIM
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:581.8105
Timestamp:1401197400,1401220800
labels:1401199200,1401202800,1401206400,1401210000,1401213600,1401217200,1401220800
values:Timestamp,close,high,low,open,volume
close:592.1098,597.0821
high:592.3461,597.0821
low:591.9914,597.0821
open:592.0866,597.0821
volume:0,0
1401197510,592.4795,592.4795,592.4795,592.4795,0
1401197579,593.1069,593.1693,592.8290,592.8290,0
1401197639,593.1453,593.1827,593.0161,593.1329,0
1401197699,593.1207,593.1921,593.0842,593.1357,0
1401197759,592.9438,593.1463,592.9438,593.1074,0
1401197819,592.3461,592.9673,592.3461,592.9401,0
1401197879,592.1098,592.3461,591.9914,592.3461,0
1401197939,592.3311,592.4160,592.0119,592.0866,0
1401197999,592.2634,592.3936,592.2369,592.2943,0
1401198059,592.9061,592.9302,592.2664,592.2664,0
1401198119,593.0899,593.1069,592.8855,592.9446,0
1401198179,593.5436,593.6409,593.0721,593.0721,0
1401198239,593.7328,593.7386,593.5339,593.5339,0
1401198299,593.7151,593.7881,593.6311,593.7183,0
1401198359,593.9885,594.2151,593.8988,593.8995,0
1401198419,594.3469,594.3470,593.9885,593.9885,0
1401198479,594.2144,594.5110,594.1619,594.3392,0
1401198536,594.4492,594.4592,594.1911,594.2144,0
1401198598,594.8949,594.9050,594.5000,594.5000,0
1401198659,594.8954,595.0499,594.8585,594.8585,0
1401198719,594.7593,594.9044,594.7259,594.9015,0
1401198779,594.7059,594.9642,594.7059,594.7651,0
1401198839,594.4093,594.7890,594.4093,594.7134,0
1401198899,594.5397,594.5706,594.4150,594.4150,0
1401198959,594.8469,594.8650,594.5338,594.5397,0
1401199019,595.1500,595.1597,594.8469,594.8469,0
1401199079,595.1551,595.2344,595.1545,595.1639,0
1401199139,594.7545,595.1769,594.7453,595.1459,0
1401199199,594.3959,594.7776,594.3902,594.7577,0
1401199259,594.5131,594.5131,594.3477,594.3941,0
1401199319,594.4540,594.7053,594.4178,594.5131,0
1401199379,594.4805,594.4935,594.3734,594.4767,0
1401199439,594.2806,594.4952,594.2681,594.4842,0
1401199499,594.3798,594.4114,594.2083,594.2702,0
1401199559,594.7052,594.7338,594.3561,594.3697,0
1401199619,594.7662,594.8246,594.6801,594.7023,0
1401199679,594.9199,594.9199,594.5477,594.7631,0
1401199739,594.8822,594.9359,594.6863,594.9156,0
1401199799,594.8558,594.9135,594.7607,594.8712,0
1401199859,594.6658,594.8535,594.5580,594.8535,0
1401199919,595.0187,595.0187,594.6690,594.6690,0
1401199979,595.0348,595.1199,594.9660,595.0187,0
1401200039,595.1871,595.1871,595.0373,595.0373,0
1401200099,595.2936,595.3393,595.1961,595.1961,0
1401200159,595.3329,595.3329,595.2111,595.2936,0
1401200219,595.3971,595.4700,595.3335,595.3335,0
1401200279,595.4251,595.5040,595.3815,595.4001,0
1401200339,595.4802,595.5984,595.4267,595.4402,0
1401200399,595.3602,595.4774,595.2863,595.4774,0
1401200459,595.3976,595.4376,595.3630,595.3630,0
1401200519,595.4589,595.4878,595.4026,595.4026,0
1401200579,595.4869,595.5735,595.4589,595.4589,0
1401200639,595.4808,595.5381,595.4730,595.4894,0
1401200699,595.1902,595.4910,595.1639,595.4910,0
1401200759,595.2195,595.2599,595.1746,595.1902,0
1401200819,595.1356,595.2628,595.1356,595.2145,0
1401200879,595.2458,595.2458,594.9796,595.1445,0
1401200939,595.4460,595.4460,595.2535,595.2535,0
1401200999,595.4716,595.5267,595.4625,595.4625,0
1401201059,595.5019,595.5025,595.4503,595.4716,0
1401201119,595.5467,595.5467,595.4883,595.5057,0
1401201179,595.5917,595.5917,595.5155,595.5467,0
1401201239,595.7628,595.7721,595.5917,595.5917,0
1401201299,595.7183,595.7502,595.6953,595.7495,0
1401201359,595.7626,595.7626,595.6914,595.7156,0
1401201419,595.7117,595.8021,595.7117,595.7626,0
1401201479,595.7315,595.8214,595.6754,595.7166,0
1401201539,595.7167,595.7193,595.6584,595.7193,0
1401201599,595.7067,595.7339,595.6784,595.7167,0
1401201659,595.7339,595.7551,595.6766,595.7091,0
1401201719,595.8815,595.8890,595.7400,595.7400,0
1401201779,595.8699,595.9791,595.7914,595.8884,0
1401201839,595.9133,595.9874,595.8672,595.8759,0
1401201899,595.7704,595.9165,595.7354,595.8931,0
1401201959,595.7407,596.0002,595.7407,595.7749,0
1401202019,595.6943,595.7803,595.6504,595.7360,0
1401202079,595.8595,595.8595,595.7070,595.7160,0
1401202139,596.1675,596.1675,595.8557,595.8557,0
1401202199,596.2453,596.2626,596.1678,596.1744,0
1401202259,596.0197,596.2719,596.0197,596.2453,0
1401202319,595.8121,596.0270,595.8121,596.0270,0
1401202379,595.9070,595.9911,595.8159,595.8159,0
1401202439,595.8995,595.9075,595.8220,595.9070,0
1401202499,595.9100,595.9118,595.8568,595.8957,0
1401202559,595.9107,595.9196,595.8906,595.9144,0
1401202619,595.9678,595.9734,595.8913,595.9107,0
1401202679,595.9031,595.9678,595.8793,595.9678,0
1401202739,595.7997,595.8954,595.7836,595.8954,0
1401202799,595.8671,595.9545,595.7983,595.8309,0
1401202859,595.8747,595.8763,595.7158,595.8732,0
1401202919,595.8773,595.9451,595.8301,595.8882,0
1401202979,595.9760,595.9785,595.8470,595.8804,0
1401203039,595.9257,595.9828,595.9257,595.9760,0
1401203099,595.9711,595.9871,595.9026,595.9101,0
1401203159,596.0224,596.0224,595.9850,595.9927,0
1401203219,596.0801,596.1093,596.0237,596.0237,0
1401203279,596.1185,596.1237,596.0416,596.0529,0
1401203339,596.1689,596.2275,596.1151,596.1185,0
1401203399,596.2496,596.2496,596.1628,596.1689,0
1401203459,596.2063,596.2808,596.1813,596.2808,0
1401203519,596.2350,596.2350,596.1509,596.2063,0
1401203579,596.3338,596.3338,596.2290,596.2350,0
1401203639,596.2085,596.3504,596.2074,596.3400,0
1401203699,596.0585,596.2109,596.0382,596.2085,0
1401203759,596.0115,596.0585,596.0101,596.0585,0
1401203819,596.0085,596.0085,595.9419,595.9999,0
1401203879,595.9706,596.0446,595.9706,596.0128,0
1401203939,595.9044,595.9631,595.8841,595.9631,0
1401203999,595.5661,595.9044,595.5661,595.9044,0
